props,tbox,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,a,,,,a,a,a,a,a,a,a
,,,owl:ObjectProperty,rdfs:subPropertyOf,rdfs:domain,rdfs:range,owl:FunctionalProperty,owl:InverseFunctionalProperty,owl:TransitiveProperty,owl:SymmetricProperty,owl:AsymmetricProperty,owl:ReflexiveProperty,owl:IrreflexiveProperty
,,defines,x,,,,,,,,,,
,,consistsOf,x,,,,,,x,,,,
,,has,x,,,,,,,,,,
,,realizes,x,,,,,,,,,,
,,describes,x,,,,,,,,,,
,,requires,x,,,,,,,,,,
,,neighbours,x,,,,,,,x,,,
,,capableOf,x,,,,,,,,,,
,,precedes,x,,,,,,x,,,,
,,fprecedes,x,,,,,,x,,,,
,,fconflicts,x,,,,,,,x,,,
,,frequires,x,,,,,,,,,,
,,hasObjectiveFunction,x,,:specification,:objectiveFunction,x,,,,,,
,,runsOnResource,x,,:processExecution,:resource,x,,,,,,
,,runsProcess,x,,:processExecution,:process,x,,,,,,
,,hasPerformance,x,,,,,,,,,,
,,realPerformance,x,hasPerformance,,:performance,x,,,,,,
,,expectedPerformance,x,hasPerformance,:process,:performance,x,,,,,,
,,originResource,x,,,,,,,,,,
,,targetResource,x,,,,,,,,,,
,,hasStartLocation,x,,,,,,,,,,
,,hasEndLocation,x,,,,,,,,,,
,,hasProcessExecution,x,,:specification,:processExecution,,,,,,,
,,hasProposalGroup,x,,:processExecution,:proposalGroup,x,,,,,,
,,hasCoefficient,x,,:objectiveFunction,:coefficient,,,,,,,
