func,abox,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,:duration,:costs,:emissions,:quality,,,,,,,,,,
,,,,^^xsd:float,^^xsd:float,^^xsd:float,^^xsd:float,,,,,,,,,,
,,partToStorageperformance,,3,0,0,0,,,,,,,,,,
,,PD1performance,,20,12,200,10,,,,,,,,,,
,,PD2performance,,21,11,180,9.8,,,,,,,,,,
,,PD3performance,,20,14,230,9.6,,,,,,,,,,
,,PD4performance,,20,10,210,9.5,,,,,,,,,,
,,PD5performance,,22,13,210,9.9,,,,,,,,,,
,,PI1performance,,13,30,340,8.1,,,,,,,,,,
,,PI2performance,,14,32,400,8,,,,,,,,,,
,,PI3performance,,12.5,31,389,9,,,,,,,,,,
,,PL1performance,,6,4,200,8.5,,,,,,,,,,
,,PL2performance,,7,3.5,223,8.4,,,,,,,,,,
,,PH1performance,,40,2,0,0,,,,,,,,,,
,,PH2performance,,43,1.8,0,0,,,,,,,,,,
,,PH3performance,,46,1.9,0,0,,,,,,,,,,
,,PH4performance,,38,2,0,0,,,,,,,,,,
,,PH5performance,,39,2.3,0,0,,,,,,,,,,
,,PH6performance,,40,2.1,0,0,,,,,,,,,,
,,PB1performance,,20,0,10,0,,,,,,,,,,
,,PB2performance,,23,0,12,0,,,,,,,,,,
,,PB3performance,,21,0,13,0,,,,,,,,,,
,,PB4performance,,22,0,11,0,,,,,,,,,,
,,PB5performance,,19,0,9,0,,,,,,,,,,
,,PC1performance,,0,0,0,0,,,,,,,,,,
,,initPAperformance,,1,0,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
